epoch, IS, FID
1, 1.1682438850402832, 358.59672851290213
50, 2.716395139694214, 235.72325079904303
100, 3.263052463531494, 246.75567744393737
150, 2.9192752838134766, 283.3841045691721
200, 3.2969155311584473, 253.468682476901
250, 3.1802096366882324, 224.04487803502934
300, 3.2189645767211914, 221.28957804465557
350, 3.4512085914611816, 227.10520244136617
400, 3.2619681358337402, 216.52541249662
450, 3.7441391944885254, 202.02386568465178
500, 2.9066195487976074, 240.60624360415318
